Range,Drought Probability
1901-1905,0
1902-1906,0
1903-1907,0
1904-1908,0
1905-1909,0
1906-1910,0
1907-1911,0
1908-1912,0
1909-1913,0
1910-1914,0
1911-1915,0
1912-1916,0
1913-1917,0
1914-1918,0
1915-1919,0
1916-1920,0
1917-1921,0
1918-1922,0
1919-1923,0
1920-1924,0
1921-1925,0
1922-1926,0
1923-1927,0
1924-1928,0
1925-1929,0
1926-1930,0
1927-1931,0
1928-1932,0
1929-1933,0
1930-1934,0
1931-1935,0
1932-1936,0
1933-1937,0
1934-1938,0
1935-1939,0
1936-1940,0
1937-1941,0
1938-1942,0
1939-1943,0
1940-1944,0
1941-1945,0
1942-1946,0
1943-1947,0
1944-1948,0
1945-1949,0
1946-1950,0
1947-1951,0
1948-1952,0
1949-1953,0
1950-1954,0
1951-1955,0
1952-1956,0
1953-1957,0
1954-1958,0
1955-1959,0
1956-1960,0
1957-1961,0
1958-1962,0
1959-1963,0
1960-1964,0
1961-1965,0
1962-1966,0
1963-1967,0
1964-1968,0
1965-1969,0
1966-1970,0
1967-1971,0
1968-1972,0
1969-1973,0
1970-1974,0
1971-1975,0
1972-1976,0
1973-1977,0
1974-1978,0
1975-1979,0
1976-1980,0
1977-1981,0
1978-1982,0
1979-1983,0
1980-1984,0
1981-1985,0
1982-1986,0
1983-1987,0
1984-1988,0
1985-1989,0
1986-1990,0
1987-1991,0
1988-1992,0
1989-1993,0
1990-1994,0
1991-1995,0
1992-1996,0
1993-1997,0
1994-1998,0
1995-1999,0
1996-2000,0
1997-2001,0
1998-2002,0
1999-2003,0
2000-2004,0
2001-2005,0
2002-2006,0
2003-2007,0
2004-2008,0
2005-2009,0
2006-2010,0
2007-2011,0
2008-2012,0
2009-2013,0
2010-2014,0
2011-2015,0
2012-2016,0
2013-2017,0
2014-2018,0
2015-2019,0
2016-2020,0
2017-2021,0
2018-2022,0
2019-2023,0
2020-2024,0
2021-2025,0
2022-2026,0
2023-2027,0
2024-2028,0
2025-2029,0
2026-2030,0
2027-2031,0
2028-2032,0
2029-2033,0
2030-2034,0
2031-2035,0
2032-2036,0
2033-2037,0
2034-2038,0
2035-2039,0
2036-2040,0
2037-2041,0
2038-2042,0
2039-2043,0
2040-2044,0
2041-2045,1
2042-2046,1
2043-2047,1
2044-2048,1
2045-2049,1
2046-2050,1
2047-2051,1
2048-2052,1
2049-2053,1
2050-2054,1
2051-2055,1
2052-2056,1
2053-2057,1
2054-2058,1
2055-2059,1
2056-2060,1
2057-2061,1
2058-2062,1
2059-2063,1
2060-2064,1
2061-2065,0
2062-2066,0
2063-2067,0
2064-2068,0
2065-2069,0
2066-2070,1
2067-2071,1
2068-2072,1
2069-2073,1
2070-2074,1
2071-2075,1
2072-2076,1
2073-2077,1
2074-2078,1
2075-2079,1
2076-2080,1
2077-2081,1
2078-2082,1
2079-2083,1
2080-2084,1
2081-2085,1
2082-2086,1
2083-2087,1
2084-2088,1
2085-2089,1
2086-2090,0
2087-2091,0
2088-2092,0
2089-2093,0
2090-2094,0
2091-2095,1
2092-2096,1
2093-2097,1
2094-2098,1
2095-2099,1
2096-2100,1
2097-2101,1
2098-2102,1
2099-2103,1
2100-2104,1
